from	to	Correlation	p-Value
U::X - 12234	U::X - 17717	0.08295365	2.22E-16
U::X - 14318	U::X - 17717	0.082986962	2.22E-16
U::X - 14352	U::X - 17717	0.062464782	1.28E-12
U::X - 13431	U::X - 17730	0.063266119	6.60E-13
U::X - 17346	U::X - 17730	0.056702758	1.19E-10
U::X - 17682	U::X - 17730	0.061997027	1.88E-12
U::X - 12385	U::X - 17735	0.058388846	3.30E-11
U::X - 17335	U::X - 17735	0.068965593	4.66E-15
U::X - 17335	U::X - 17761	0.051655046	4.45E-09
U::X - 17735	U::X - 17761	0.061718831	2.36E-12
U::X - 12845	U::X - 17765	0.081925397	2.22E-16
U::X - 17704	U::X - 17765	0.086900775	2.22E-16
P::trans-4-hydroxyproline	U::X - 18342	0.069170084	4.00E-15
U::X - 12234	U::X - 18342	0.056895794	1.03E-10
U::X - 14318	U::X - 18342	0.07830769	2.22E-16
U::X - 14352	U::X - 18342	0.087626216	2.22E-16
U::X - 17717	U::X - 18342	0.059237537	1.71E-11
U::X - 12234	U::X - 18345	0.108473481	2.22E-16
U::X - 14318	U::X - 18345	0.132384866	2.22E-16
U::X - 14352	U::X - 18345	0.134430069	2.22E-16
U::X - 17717	U::X - 18345	0.082094091	2.22E-16
U::X - 18342	U::X - 18345	0.084724063	2.22E-16
U::X - 12234	U::X - 18368	0.060943189	4.42E-12
U::X - 14318	U::X - 18368	0.085798538	2.22E-16
U::X - 14352	U::X - 18368	0.065897184	7.04E-14
U::X - 17717	U::X - 18368	0.076934174	2.22E-16
U::X - 18345	U::X - 18368	0.084923782	2.22E-16
U::X - 11333	U::X - 18475	0.072307219	2.22E-16
U::X - 14839	U::X - 18603	0.051053439	6.71E-09
P::pro-hydroxy-pro	U::X - 18887	0.068184932	9.33E-15
U::glycylproline	U::X - 18887	0.056801023	1.11E-10
U::pro-hydroxy-pro	U::X - 18887	0.067779619	1.33E-14
U::X - 11338	U::X - 18887	0.054209579	7.41E-10
U::X - 11616	U::X - 18887	0.05000277	1.36E-08
U::X - 12822	U::X - 18948	0.082342588	2.22E-16
U::X - 15646	U::X - 18948	0.061490795	2.84E-12
U::alpha-CEHC glucuronide*	U::X - 18965	0.049954561	1.40E-08
U::tryptophan	U::X - 19380	0.071565133	4.44E-16
U::X - 11429	U::X - 19437	0.071851902	4.44E-16
P::1,2-propanediol	S::1,2-propanediol	0.082861592	2.22E-16
U::1,2-propanediol	S::1,2-propanediol	0.071927135	4.44E-16
P::1,5-anhydroglucitol (1,5-AG)	S::1,5-anhydroglucitol (1,5-AG)	0.067270414	2.11E-14
S::12-HETE	S::13-HODE + 9-HODE	0.06054466	6.08E-12
S::2-hydroxypalmitate	S::2-hydroxystearate	0.134120184	2.22E-16
S::2-hydroxyglutarate	S::3-(4-hydroxyphenyl)lactate	0.057541555	6.32E-11
U::3-aminoisobutyrate	S::3-aminoisobutyrate	0.081711937	2.22E-16
P::3-dehydrocarnitine*	S::3-dehydrocarnitine*	0.056864518	1.05E-10
P::3-hydroxybutyrate (BHBA)	S::3-hydroxybutyrate (BHBA)	0.07190464	4.44E-16
P::X - 12405	S::3-indoxyl sulfate	0.053987365	8.69E-10
U::X - 17393	S::3-indoxyl sulfate	0.049917528	1.44E-08
S::3-(4-hydroxyphenyl)propionate	S::3-phenylpropionate (hydrocinnamate)	0.070129812	1.55E-15
S::3-(4-hydroxyphenyl)propionate	S::4-hydroxyphenylacetate	0.0667102	3.46E-14
S::2,3-butanediol	S::alanylalanine	0.049581967	1.79E-08
S::2-hydroxy-3-methylvalerate	S::alpha-hydroxyisocaproate	0.086161371	2.22E-16
S::2-hydroxyglutarate	S::alpha-hydroxyisocaproate	0.060676014	5.47E-12
S::3-(4-hydroxyphenyl)lactate	S::alpha-hydroxyisocaproate	0.065058562	1.45E-13
P::alpha-hydroxyisovalerate	S::alpha-hydroxyisovalerate	0.054843514	4.69E-10
S::2-hydroxy-3-methylvalerate	S::alpha-hydroxyisovalerate	0.095450111	2.22E-16
S::2-hydroxyglutarate	S::alpha-hydroxyisovalerate	0.060093278	8.71E-12
S::3-(4-hydroxyphenyl)lactate	S::alpha-hydroxyisovalerate	0.070114624	1.78E-15
S::alpha-hydroxyisocaproate	S::alpha-hydroxyisovalerate	0.070663969	8.88E-16
S::2-hydroxybutyrate (AHB)	S::alpha-ketobutyrate	0.060629025	5.68E-12
S::acetoacetate	S::alpha-ketobutyrate	0.051487064	4.99E-09
S::alpha-ketobutyrate	S::alpha-ketoglutarate	0.071481695	4.44E-16
S::agmatine	S::arginine	0.072434548	2.22E-16
S::arginylisoleucine	S::arginylphenylalanine	0.071819778	4.44E-16
P::1,3,7-trimethylurate	S::caffeine	0.063918603	3.82E-13
P::caffeine	S::caffeine	0.083797438	2.22E-16
P::paraxanthine	S::caffeine	0.04846369	3.72E-08
P::theophylline	S::caffeine	0.05415379	7.72E-10
U::1,3,7-trimethylurate	S::caffeine	0.051795746	4.04E-09
U::1,7-dimethylurate	S::caffeine	0.048255282	4.26E-08
S::13-HODE + 9-HODE	S::caprate (10:0)	0.077827009	2.22E-16
S::benzoate	S::caproate (6:0)	0.054798296	4.85E-10
S::caprate (10:0)	S::caprylate (8:0)	0.080875914	2.22E-16
S::caproate (6:0)	S::caprylate (8:0)	0.072312545	2.22E-16
S::3-dehydrocarnitine*	S::carnitine	0.051198323	6.08E-09
S::acetylcarnitine	S::carnitine	0.087813563	2.22E-16
P::catechol sulfate	S::catechol sulfate	0.07583924	2.22E-16
U::catechol sulfate	S::catechol sulfate	0.058371952	3.35E-11
P::cyclo(leu-pro)	S::cyclo(leu-pro)	0.059260563	1.68E-11
S::4-hydroxyphenylpyruvate	S::cytidine	-0.060788838	5.00E-12
S::3-dehydrocarnitine*	S::deoxycarnitine	0.055934501	2.11E-10
S::4-hydroxyphenylacetate	S::deoxycarnitine	0.060874986	4.67E-12
S::2-hydroxypalmitate	S::dihomo-linolenate (20:3n3 or n6)	0.10230398	2.22E-16
S::2-hydroxystearate	S::dihomo-linolenate (20:3n3 or n6)	0.077185162	2.22E-16
S::arachidonate (20:4n6)	S::dihomo-linolenate (20:3n3 or n6)	0.053087839	1.65E-09
S::2-hydroxypalmitate	S::docosadioate	0.054997707	4.19E-10
S::caprate (10:0)	S::eicosanodioate	0.056253998	1.66E-10
S::2-hydroxypalmitate	S::eicosenoate (20:1n9 or 11)	0.087918026	2.22E-16
S::2-hydroxystearate	S::eicosenoate (20:1n9 or 11)	0.08546674	2.22E-16
S::arachidonate (20:4n6)	S::eicosenoate (20:1n9 or 11)	0.059964935	9.64E-12
P::erythritol	S::erythritol	0.088053195	2.22E-16
U::erythritol	S::erythritol	0.059734831	1.16E-11
S::fucose	S::galactose	0.05609797	1.87E-10
S::cadaverine	S::gamma-aminobutyrate (GABA)	0.048751039	3.09E-08
S::fructose-6-phosphate	S::glucose-6-phosphate (G6P)	0.110777511	2.22E-16
S::alanine	S::glutamate	0.057194922	8.22E-11
S::arginylproline	S::glutamine	0.049550208	1.83E-08
S::alpha-glutamylglutamate	S::glutamine-glutamate	0.107157329	2.22E-16
S::3-phosphoglycerate	S::glycerol	0.049654721	1.71E-08
S::fructose-6-phosphate	S::glycerol 3-phosphate (G3P)	0.053048286	1.69E-09
S::glucose-6-phosphate (G6P)	S::glycerol 3-phosphate (G3P)	0.064899613	1.66E-13
S::agmatine	S::glycine	0.049927906	1.43E-08
S::arginine	S::glycine	0.048715875	3.16E-08
S::adenine	S::guanine	0.077624356	2.22E-16
S::glucose-6-phosphate (G6P)	S::guanine	0.060241866	7.74E-12
S::arabitol	S::gulono-1,4-lactone	0.052736625	2.11E-09
S::gluconate	S::gulono-1,4-lactone	0.050648805	8.82E-09
S::4-methyl-2-oxopentanoate	S::heptanoate (7:0)	-0.066601306	3.82E-14
P::hippurate	S::hippurate	0.051043694	6.75E-09
S::3-indoxyl sulfate	S::hippurate	0.04861876	3.37E-08
S::adenine	S::hypoxanthine	0.057037877	9.25E-11
S::guanine	S::hypoxanthine	0.075205128	2.22E-16
S::4-hydroxyphenylacetate	S::imidazole propionate	0.067581466	1.60E-14
S::deoxycarnitine	S::imidazole propionate	0.049345041	2.10E-08
S::3-(4-hydroxyphenyl)propionate	S::indoleacetate	0.094675954	2.22E-16
S::3-phenylpropionate (hydrocinnamate)	S::indoleacetate	0.050169846	1.22E-08
S::4-hydroxyphenylacetate	S::indoleacetate	0.106837471	2.22E-16
S::arginylphenylalanine	S::isoleucylglycine	0.080369978	2.22E-16
S::isoleucylalanine	S::isoleucylserine	0.056049954	1.94E-10
S::acetylcarnitine	S::isovalerylcarnitine	0.056446333	1.44E-10
S::carnitine	S::isovalerylcarnitine	0.060165731	8.22E-12
S::2-hydroxybutyrate (AHB)	S::lactate	0.062474919	1.27E-12
S::isoleucine	S::leucine	0.079081701	2.22E-16
S::alanylvaline	S::leucylalanine	0.048748211	3.10E-08
S::glutamine-leucine	S::leucylalanine	0.050572665	9.28E-09
S::alanylvaline	S::leucylglutamate	0.0570136	9.42E-11
S::asparagylleucine	S::leucylglutamate	0.048980787	2.66E-08
S::leucylglutamate	S::leucylglycine	0.055679949	2.54E-10
S::leucylisoleucine	S::leucylphenylalanine	0.054957168	4.32E-10
S::glycine	S::lysine	0.051116597	6.43E-09
S::arginylisoleucine	S::lysylphenylalanine	0.082125719	2.22E-16
S::leucyltyrosine	S::lysylphenylalanine	0.065344648	1.13E-13
S::arginine	S::lysylproline	0.050054525	1.31E-08
S::lysine	S::lysylproline	0.048360246	3.98E-08
S::fumarate	S::malate	0.049627969	1.74E-08
S::glucose	S::maltose	0.071860688	4.44E-16
S::citrate	S::N-acetylaspartate (NAA)	0.055319268	3.32E-10
S::fucose	S::N-acetylglucosamine	0.075410367	2.22E-16
S::galactose	S::N-acetylglucosamine	0.131161099	2.22E-16
S::fucose	S::N-acetylneuraminate	0.064029536	3.48E-13
S::N-acetylglucosamine	S::N-acetylneuraminate	0.056590945	1.29E-10
S::N-acetylleucine	S::N-acetylphenylalanine	0.134022171	2.22E-16
S::agmatine	S::N-acetylputrescine	0.051559027	4.75E-09
S::beta-alanine	S::ornithine	0.057744048	5.41E-11
S::lysine	S::ornithine	0.064299241	2.77E-13
S::lysylproline	S::ornithine	0.051779442	4.09E-09
P::p-cresol sulfate	S::p-cresol sulfate	0.059655622	1.23E-11
U::p-cresol sulfate	S::p-cresol sulfate	0.055436412	3.04E-10
U::X - 11837	S::p-cresol sulfate	0.064455282	2.43E-13
S::2-hydroxystearate	S::palmitoyl sphingomyelin	0.056657294	1.23E-10
S::arachidonate (20:4n6)	S::palmitoyl sphingomyelin	0.04874675	3.10E-08
S::eicosenoate (20:1n9 or 11)	S::palmitoyl sphingomyelin	0.057642083	5.85E-11
P::paraxanthine	S::paraxanthine	0.058708872	2.58E-11
S::caffeine	S::paraxanthine	0.064460223	2.42E-13
S::caprate (10:0)	S::pelargonate (9:0)	0.079200696	2.22E-16
S::caprylate (8:0)	S::pelargonate (9:0)	0.084324979	2.22E-16
S::heptanoate (7:0)	S::pelargonate (9:0)	0.080057172	2.22E-16
P::phenol sulfate	S::phenol sulfate	0.134028941	2.22E-16
U::phenol sulfate	S::phenol sulfate	0.089301866	2.22E-16
U::X - 12257	S::phenol sulfate	0.061713469	2.37E-12
U::X - 12335	S::phenol sulfate	0.090311327	2.22E-16
S::3-(4-hydroxyphenyl)propionate	S::phenylacetate	0.055988988	2.03E-10
S::3-phenylpropionate (hydrocinnamate)	S::phenylacetate	0.05570592	2.50E-10
S::4-hydroxyphenylacetate	S::phenylacetate	0.091357769	2.22E-16
S::indoleacetate	S::phenylacetate	0.101129734	2.22E-16
S::isoleucine	S::phenylalanine	0.051778545	4.09E-09
S::N-acetylphenylalanine	S::phenylalanine	0.065060312	1.45E-13
S::leucylphenylalanine	S::phenylalanylleucine	0.071624572	4.44E-16
S::lysylphenylalanine	S::phenylalanylphenylalanine	0.057011463	9.44E-11
S::arginylisoleucine	S::phenylalanyltyrosine	0.050457911	1.00E-08
S::leucyltyrosine	S::phenylalanyltyrosine	0.07967387	2.22E-16
S::lysylphenylalanine	S::phenylalanyltyrosine	0.078183805	2.22E-16
S::2-hydroxy-3-methylvalerate	S::phenyllactate (PLA)	0.052395431	2.67E-09
S::2-hydroxyglutarate	S::phenyllactate (PLA)	0.067865036	1.24E-14
S::3-(4-hydroxyphenyl)lactate	S::phenyllactate (PLA)	0.105648826	2.22E-16
S::alpha-hydroxyisocaproate	S::phenyllactate (PLA)	0.080580372	2.22E-16
S::alpha-hydroxyisovalerate	S::phenyllactate (PLA)	0.077154882	2.22E-16
S::glycerol	S::phosphate	0.164290528	2.22E-16
S::glycerol 3-phosphate (G3P)	S::phosphate	0.049409348	2.01E-08
S::phosphate	S::phosphoethanolamine	0.049246591	2.24E-08
S::glutamine	S::proline	0.049470106	1.93E-08
S::glycine	S::proline	0.057451118	6.77E-11
S::histidylproline	S::prolylglycine	0.053958941	8.87E-10
S::arginylproline	S::prolylproline	0.049684824	1.68E-08
S::proline	S::prolylproline	0.062539827	1.20E-12
S::acetylcarnitine	S::propionylcarnitine	0.088517118	2.22E-16
S::butyrylcarnitine	S::propionylcarnitine	0.061440726	2.96E-12
S::carnitine	S::propionylcarnitine	0.059948754	9.76E-12
S::isovalerylcarnitine	S::propionylcarnitine	0.063305615	6.38E-13
S::N6-carbamoylthreonyladenosine	S::pseudouridine	0.074724661	2.22E-16
S::5-aminovalerate	S::putrescine	0.070323162	1.33E-15
S::beta-alanine	S::putrescine	0.051523552	4.87E-09
S::cadaverine	S::putrescine	0.059513816	1.38E-11
S::lysine	S::putrescine	0.059928039	9.92E-12
S::ornithine	S::putrescine	0.061806922	2.20E-12
P::pyroglutamine*	S::pyroglutamine*	0.070598976	8.88E-16
S::alpha-ketobutyrate	S::pyruvate	0.052006457	3.50E-09
S::alpha-ketoglutarate	S::pyruvate	0.063997617	3.57E-13
S::lactate	S::pyruvate	0.067281101	2.09E-14
S::fructose	S::quinate	0.091786312	2.22E-16
S::agmatine	S::ribose	0.077006794	2.22E-16
S::fucose	S::ribose	0.11762905	2.22E-16
S::galactose	S::ribose	0.050885128	7.52E-09
S::N-acetylglucosamine	S::ribose	0.057263323	7.80E-11
S::deoxycarnitine	S::sarcosine (N-Methylglycine)	0.054828417	4.74E-10
S::myo-inositol	S::scyllo-inositol	0.084026696	2.22E-16
S::arginine	S::serine	0.057432835	6.86E-11
S::isoleucylalanine	S::serylleucine	0.074499741	2.22E-16
P::stachydrine	S::stachydrine	0.049255267	2.22E-08
U::X - 13841	S::stachydrine	0.049929046	1.43E-08
S::malate	S::succinate	0.061005175	4.20E-12
S::acetylcarnitine	S::succinylcarnitine	0.079663675	2.22E-16
S::N-acetylaspartate (NAA)	S::succinylcarnitine	0.054913113	4.46E-10
S::3-dehydrocarnitine*	S::taurine	0.049364618	2.07E-08
P::7-methylxanthine	S::theobromine	0.057997644	4.46E-11
P::theobromine	S::theobromine	0.095375672	2.22E-16
U::theobromine	S::theobromine	0.067572611	1.62E-14
S::serine	S::threonine	0.075013682	2.22E-16
S::isoleucylglycine	S::threonylphenylalanine	0.066664156	3.60E-14
S::leucyltyrosine	S::threonylphenylalanine	0.074604677	2.22E-16
S::phenylalanylphenylalanine	S::threonylphenylalanine	0.052923764	1.85E-09
P::trans-4-hydroxyproline	S::trans-4-hydroxyproline	0.097350957	2.22E-16
S::3-aminoisobutyrate	S::trans-4-hydroxyproline	0.065361907	1.12E-13
P::tryptophan betaine	S::tryptophan betaine	0.113553079	2.22E-16
U::tryptophan betaine	S::tryptophan betaine	0.051114492	6.44E-09
S::histidine	S::tyrosine	0.057007345	9.47E-11
S::N-acetylphenylalanine	S::tyrosine	0.052560387	2.38E-09
S::phenylalanine	S::tyrosine	0.091910881	2.22E-16
S::lysylphenylalanine	S::tyrosylglutamine	0.053158643	1.57E-09
S::threonylphenylalanine	S::tyrosylglutamine	0.083729565	2.22E-16
S::isoleucylglycine	S::tyrosylglycine	0.069266065	3.55E-15
S::leucyltyrosine	S::tyrosylleucine	0.094795875	2.22E-16
S::lysylphenylalanine	S::tyrosylleucine	0.056828151	1.08E-10
S::phenylalanyltyrosine	S::tyrosylleucine	0.049478097	1.92E-08
S::threonylphenylalanine	S::tyrosylleucine	0.051983919	3.55E-09
S::adenine	S::uracil	0.055625631	2.65E-10
S::hypoxanthine	S::uracil	0.050874836	7.57E-09
P::urate	S::urate	0.072034467	2.22E-16
S::phosphate	S::urate	0.048918235	2.77E-08
S::heptanoate (7:0)	S::uridine	-0.09870815	2.22E-16
S::caproate (6:0)	S::valerate	0.089227364	2.22E-16
S::caprylate (8:0)	S::valerate	0.070301216	1.33E-15
S::heptanoate (7:0)	S::valerate	0.093925903	2.22E-16
S::pelargonate (9:0)	S::valerate	0.096452003	2.22E-16
S::isoleucine	S::valine	0.072750561	2.22E-16
S::leucine	S::valine	0.077619846	2.22E-16
S::alanylvaline	S::valylalanine	0.053180373	1.54E-09
S::leucylalanine	S::valylalanine	0.051077657	6.60E-09
S::leucylglutamate	S::valylalanine	0.055166968	3.71E-10
S::leucylglycine	S::valylalanine	0.055206685	3.60E-10
S::leucylleucine	S::valylleucine	0.056888438	1.04E-10
S::adenine	S::xanthine	0.053307636	1.41E-09
S::hypoxanthine	S::xanthine	0.073022148	2.22E-16
S::uracil	S::xanthine	0.063777974	4.30E-13
P::X - 03056	S::X - 03056	0.10172641	2.22E-16
U::X - 03056	S::X - 03056	0.083759002	2.22E-16
P::X - 11315	S::X - 11315	0.084586127	2.22E-16
S::3-(4-hydroxyphenyl)propionate	S::X - 11390	0.053747341	1.03E-09
S::4-hydroxyphenylacetate	S::X - 11390	0.0895294	2.22E-16
S::5-aminovalerate	S::X - 11390	0.061137516	3.78E-12
S::indoleacetate	S::X - 11390	0.103752179	2.22E-16
S::phenylacetate	S::X - 11390	0.097326033	2.22E-16
S::8-hydroxyoctanoate	S::X - 11508	0.065009553	1.51E-13
S::N-acetylneuraminate	S::X - 11607	0.111916098	2.22E-16
S::X - 11616	S::X - 11618	0.063011015	8.16E-13
S::valylleucine	S::X - 11684	0.048252565	4.26E-08
S::benzoate	S::X - 12776	0.055925526	2.12E-10
S::X - 11684	S::X - 12805	0.084821989	2.22E-16
S::2,3-butanediol	S::X - 12944	0.064650651	2.06E-13
S::quinate	S::X - 12944	0.051368631	5.42E-09
S::choline phosphate	S::X - 13230	0.048398293	3.88E-08
S::urate	S::X - 13230	0.050886707	7.51E-09
S::13-HODE + 9-HODE	S::X - 13537	0.111399772	2.22E-16
S::caprate (10:0)	S::X - 13537	0.098001948	2.22E-16
S::docosadioate	S::X - 13537	0.07048684	1.11E-15
S::eicosanodioate	S::X - 13537	0.059164075	1.81E-11
S::2-hydroxypalmitate	S::X - 13579	0.088168003	2.22E-16
S::2-hydroxystearate	S::X - 13579	0.092081108	2.22E-16
S::dihomo-linolenate (20:3n3 or n6)	S::X - 13579	0.081287952	2.22E-16
S::docosadioate	S::X - 13579	0.072316108	2.22E-16
S::eicosenoate (20:1n9 or 11)	S::X - 13579	0.04984506	1.51E-08
S::13-HODE + 9-HODE	S::X - 13671	0.061358484	3.16E-12
S::tartarate	S::X - 13671	0.048935833	2.74E-08
S::X - 13537	S::X - 13671	0.050246065	1.16E-08
S::12-HETE	S::X - 13673	0.050216739	1.18E-08
S::docosadioate	S::X - 13673	0.102621748	2.22E-16
S::eicosanodioate	S::X - 13673	0.099396011	2.22E-16
S::heptanoate (7:0)	S::X - 14105	0.062931782	8.71E-13
S::histidine	S::X - 14105	0.062328437	1.43E-12
S::glycyltyrosine	S::X - 14257	0.052370911	2.72E-09
S::tyrosylleucine	S::X - 14257	0.053723201	1.05E-09
U::X - 14473	S::X - 14473	0.072262452	2.22E-16
S::cyclo(leu-pro)	S::X - 14473	0.083639849	2.22E-16
S::X - 11508	S::X - 14904	0.059406841	1.50E-11
S::X - 13230	S::X - 15415	0.051339151	5.53E-09
S::pyrophosphate (PPi)	S::X - 15461	0.053903266	9.23E-10
S::X - 11684	S::X - 15580	0.103020803	2.22E-16
S::X - 12805	S::X - 15580	0.071472727	4.44E-16
S::X - 11684	S::X - 15581	0.067112859	2.44E-14
S::X - 12805	S::X - 15581	0.074878106	2.22E-16
S::X - 15580	S::X - 15581	0.082580274	2.22E-16
S::X - 11618	S::X - 15594	0.052999468	1.75E-09
S::13-HODE + 9-HODE	S::X - 15675	0.052436813	2.60E-09
S::X - 13671	S::X - 15675	0.049253159	2.23E-08
S::X - 11684	S::X - 15735	0.049116485	2.44E-08
S::X - 12805	S::X - 15735	0.05394945	8.93E-10
S::X - 15580	S::X - 15735	0.063652465	4.78E-13
S::X - 15581	S::X - 15735	0.06593474	6.82E-14
S::valerate	S::X - 15808	0.078407602	2.22E-16
S::X - 15461	S::X - 15808	0.089907081	2.22E-16
S::X - 12776	S::X - 16103	0.057200696	8.18E-11
S::X - 13230	S::X - 16103	0.053185369	1.54E-09
S::X - 15581	S::X - 16626	0.05049978	9.75E-09
S::X - 15689	S::X - 16626	0.058802826	2.40E-11
S::lactate	S::X - 17502	0.057969265	4.56E-11
S::X - 16271	S::X - 18059	0.051962778	3.60E-09
S::X - 13819	S::X - 18095	0.05325493	1.46E-09
S::X - 15581	S::X - 18111	0.051667072	4.42E-09
S::X - 15689	S::X - 18111	0.057811828	5.14E-11
S::X - 15735	S::X - 18111	0.057013174	9.42E-11
S::X - 16626	S::X - 18111	0.063572132	5.11E-13
S::X - 15581	S::X - 18113	0.051307294	5.65E-09
S::X - 15689	S::X - 18113	0.056372382	1.52E-10
S::X - 15735	S::X - 18113	0.053587886	1.16E-09
S::X - 16626	S::X - 18113	0.070029763	1.78E-15
S::X - 18111	S::X - 18113	0.070340406	1.33E-15
S::phosphate	S::X - 18140	0.065020579	1.50E-13
S::valerate	S::X - 18278	-0.053618827	1.13E-09
S::X - 18037	S::X - 18278	0.117335109	2.22E-16
S::X - 15581	S::X - 18309	0.058915781	2.20E-11
S::X - 15689	S::X - 18309	0.058229664	3.73E-11
S::X - 15735	S::X - 18309	0.058689398	2.62E-11
S::X - 16626	S::X - 18309	0.073550802	2.22E-16
S::X - 18111	S::X - 18309	0.067384781	1.91E-14
S::X - 18113	S::X - 18309	0.074356413	2.22E-16
S::threonylphenylalanine	S::X - 18330	0.068392202	7.77E-15
S::picolinate	S::X - 19572	0.050668313	8.70E-09
S::X - 18672	S::X - 19572	0.130348795	2.22E-16
